arg-id,x,y,probability,cluster-id
A58_0,14.822393,0.32274386,1.0,2
A59_0,13.791531,4.609373,0.4295431084702581,3
A60_0,15.402639,10.652427,0.9258540856670527,7
A61_0,15.393776,10.669891,1.0,7
A62_0,15.36732,10.693059,0.5156364367287631,7
A63_0,17.796127,8.047923,0.5117485793080897,0
A64_0,17.56452,8.449294,1.0,0
A65_0,17.15166,7.4301877,0.8488735776924661,0
A67_0,18.334757,5.452852,1.0,7
A68_0,12.124632,0.46366036,1.0,2
A68_1,13.352171,1.49798,0.6430332224581725,2
A68_2,12.5412855,1.421687,0.9649577490696856,2
A69_0,15.38716,10.669189,0.8545269673376965,7
A70_0,3.6110494,-10.268376,1.0,5
A71_0,20.457592,9.458359,0.3193042403031074,3
A72_0,21.55402,8.205094,1.0,0
A73_0,15.440335,5.2998557,0.9655996771537622,7
A74_0,-3.1174166,8.767463,0.8266673309782605,5
A75_0,-12.599097,4.9818735,1.0,7
A78_0,17.529812,4.5846114,0.2540486335464092,7
A79_0,12.699136,0.65502626,0.0,2
A80_0,13.935934,5.057123,0.21069880326224108,3
A81_0,18.04748,8.395504,1.0,0
A82_0,14.16034,1.106448,1.0,2
A83_0,13.929875,5.1460776,1.0,3
A84_0,14.79659,0.3197365,1.0,2
A85_0,19.732864,7.9152317,0.8615347070410432,0
A86_0,18.738873,5.638577,0.0,7
A87_0,14.458962,6.3761573,1.0,7
A89_0,12.355764,1.0476149,0.8615806612342954,2
A90_0,-2.9472404,9.717796,1.0,5
A91_0,14.668244,0.3826379,0.8300018649319342,2
A92_0,13.860424,0.7587858,0.0,2
A93_0,17.535633,4.616115,0.18239024414972962,7
A93_1,17.322674,4.539505,0.1159798433354167,7
A93_2,16.168337,3.2860663,0.05385845213376051,2
A94_0,13.769371,1.7308602,1.0,2
A96_0,17.12205,7.401846,1.0,0
A98_0,-3.0961506,8.793257,1.0,5
A99_0,14.078854,1.5005414,1.0,2
A99_1,14.018665,1.2596993,1.0,2
A100_0,14.091347,4.7987776,0.0,3
A102_0,13.400915,-3.2940106,1.0,4
A103_0,15.66246,8.178741,0.862413296365121,7
A104_0,16.443956,6.596951,1.0,7
A105_0,3.5810094,-10.244586,1.0,5
A106_0,11.830225,-0.5999706,0.24293423986153012,1
A107_0,-2.2774558,2.7377753,1.0,3
A108_0,16.224043,8.186663,1.0,7
A109_0,16.104975,6.980559,0.7584498783075638,7
A109_1,17.099339,7.6865525,0.9533990711333608,0
A111_0,16.93037,4.5672827,0.30967735669507596,7
A112_0,-2.25087,2.7243524,1.0,3
A113_0,14.824621,0.49010846,0.7352609048290284,2
A114_0,15.422069,6.4877453,1.0,7
A115_0,19.705376,8.048989,1.0,0
A115_1,20.576647,9.345424,1.0,3
A116_0,13.729751,4.5746717,0.771424556353093,3
A116_1,17.060099,4.3970027,1.0,7
A117_0,3.5819907,-10.238644,1.0,5
A118_0,13.823325,4.683385,0.909186043578222,3
A119_0,12.45616,1.6391337,0.0,2
A120_0,14.657575,1.3471038,0.0,2
A122_0,17.753473,7.9969316,0.49031371562579573,0
A122_1,17.967281,8.258175,1.0,0
A123_0,14.0401125,1.5389304,1.0,2
A124_0,14.817786,0.29191288,1.0,2
A125_0,13.063485,0.7967422,0.8409007980706799,2
A126_0,1.4679469,5.0173664,0.31527419345830604,3
A127_0,11.556826,1.1593653,1.0,2
A128_0,17.907228,7.421462,0.0,0
A129_0,15.233228,3.183344,0.0,2
A129_1,15.386492,5.11666,1.0,7
A129_2,15.558945,5.247516,0.22307470401570872,7
A130_0,14.827542,0.32303515,1.0,2
A131_0,13.751531,4.5988555,1.0,3
A131_1,16.865284,5.5224066,1.0,7
A132_0,17.1041,7.421853,1.0,0
A133_0,14.623613,1.7845048,0.7366427473934958,2
A134_0,15.732872,2.5756986,1.0,2
A135_0,14.604216,7.2074976,1.0,7
A136_0,20.13738,7.6699667,1.0,0
A137_0,17.963215,5.3857102,0.45583260344764864,7
A138_0,17.093712,7.714806,1.0,0
A138_1,14.394127,3.6507573,0.271610806681925,2
A138_2,14.494033,3.838244,1.0,2
A139_0,11.807866,-0.7184398,1.0,1
A141_0,16.87933,6.88631,1.0,0
A142_0,14.523797,3.8887744,1.0,2
A143_0,16.851988,6.343355,0.5633617202370268,7
A144_0,-2.258473,2.7546358,1.0,3
A145_0,18.003653,8.043253,0.47974969869283185,0
A145_1,11.363506,1.3706458,1.0,2
A146_0,13.648924,2.6465912,0.8269458522286413,2
A148_0,15.983102,6.264546,0.0,7
A149_0,21.12797,7.993918,0.0,0
A150_0,15.415476,7.5469627,1.0,7
A152_0,14.1933,3.3872867,0.9605065411776557,2
A152_1,17.087921,4.382529,1.0,7
A154_0,13.38545,-3.279264,0.0,4
A155_0,21.08986,8.146394,0.0,0
A156_0,20.384457,9.578397,0.0,3
A157_0,10.1285095,0.98416024,1.0,3
A158_0,15.305787,6.1197996,1.0,7
A159_0,12.213403,0.4909597,1.0,2
A160_0,17.1221,6.9786544,0.7022332765135356,0
A161_0,16.815752,5.391118,0.7983426304780914,7
A162_0,17.073988,7.431035,0.7289433868174438,0
A163_0,17.56121,5.2168765,1.0,7
A164_0,14.856527,7.7835,1.0,7
A165_0,-12.517603,5.0843725,0.48838197411442846,7
A166_0,12.362045,0.53549993,0.0,2
A167_0,13.667293,0.70753634,1.0,2
A168_0,16.104063,8.209097,1.0,7
A169_0,14.20099,4.747447,1.0,3
